Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#1,Jeff Bezos,$112 B,54,Amazon,United States,112
#2,Bill Gates,$90 B,62,Microsoft,United States,90
#3,Warren Buffett,$84 B,87,Berkshire Hathaway,United States,84
#4,Bernard Arnault,$72 B,69,LVMH,France,72
#5,Mark Zuckerberg,$71 B,34,Facebook,United States,71
#6,Amancio Ortega,$70 B,82,Zara,Spain,70
#7,Carlos Slim Helu,$67.1 B,78,telecom,Mexico,67.1
#8,Charles Koch,$60 B,82,Koch Industries,United States,60
#8,David Koch,$60 B,78,Koch Industries,United States,60
#10,Larry Ellison,$58.5 B,73,software,United States,58.5
#11,Michael Bloomberg,$50 B,76,Bloomberg LP,United States,50
#12,Larry Page,$48.8 B,45,Google,United States,48.8
#13,Sergey Brin,$47.5 B,44,Google,United States,47.5
#14,Jim Walton,$46.4 B,70,Walmart,United States,46.4
#15,S. Robson Walton,$46.2 B,73,Walmart,United States,46.2
#16,Alice Walton,$46 B,68,Walmart,United States,46
#17,Ma Huateng,$45.3 B,46,internet media,China,45.3
#18,Francoise Bettencourt Meyers,$42.2 B,64,L'Oreal,France,42.2
#19,Mukesh Ambani,$40.1 B,61,"petrochemicals, oil & gas",India,40.1
#20,Jack Ma,$39 B,53,e-commerce,China,39
#21,Sheldon Adelson,$38.5 B,84,casinos,United States,38.5
#22,Steve Ballmer,$38.4 B,62,Microsoft,United States,38.4
#23,Li Ka-shing,$34.9 B,90,diversified,Hong Kong,34.9
#24,Hui Ka Yan,$30.3 B,59,real estate,China,30.3
#24,Lee Shau Kee,$30.3 B,90,real estate,Hong Kong,30.3
#26,Wang Jianlin,$30 B,63,real estate,China,30
#27,Beate Heister & Karl Albrecht Jr.,$29.8 B,66,supermarkets,Germany,29.8
#28,Phil Knight,$29.6 B,80,Nike,United States,29.6
#29,Jorge Paulo Lemann,$27.4 B,78,beer,Brazil,27.4
#30,Francois Pinault,$27 B,81,luxury goods,France,27
#31,Georg Schaeffler,$25.3 B,53,auto parts,Germany,25.3
#32,Susanne Klatten,$25 B,56,"BMW, pharmaceuticals",Germany,25
#32,David Thomson,$25 B,61,media,Canada,25
#34,Jacqueline Mars,$23.6 B,78,"candy, pet food",United States,23.6
#34,John Mars,$23.6 B,82,"candy, pet food",United States,23.6
#36,Joseph Safra,$23.5 B,79,banking,Brazil,23.5
#37,Giovanni Ferrero,$23 B,53,"Nutella, chocolates",Italy,23
#37,Dietrich Mateschitz,$23 B,74,Red Bull,Austria,23
#39,Michael Dell,$22.7 B,53,Dell computers,United States,22.7
#39,Masayoshi Son,$22.7 B,60,"internet, telecom",Japan,22.7
#41,Serge Dassault,$22.6 B,93,diversified,France,22.6
#42,Stefan Quandt,$22 B,52,BMW,Germany,22
#43,Yang Huiyan,$21.9 B,36,real estate,China,21.9
#44,Paul Allen,$21.7 B,65,"Microsoft, investments",United States,21.7
#45,Leonardo Del Vecchio,$21.2 B,83,eyeglasses,Italy,21.2
#46,Dieter Schwarz,$20.9 B,78,retail,Germany,20.9
#47,Thomas Peterffy,$20.3 B,73,discount brokerage,United States,20.3
#48,"Theo Albrecht, Jr.",$20.2 B,67,"Aldi, Trader Joe's",Germany,20.2
#48,Len Blavatnik,$20.2 B,61,diversified,United States,20.2
#50,He Xiangjian,$20.1 B,75,home appliances,China,20.1
#50,Lui Che Woo,$20.1 B,89,casinos,Hong Kong,20.1
#52,James Simons,$20 B,80,hedge funds,United States,20
#52,Henry Sy,$20 B,93,diversified,Philippines,20
#54,Elon Musk,$19.9 B,46,Tesla Motors,United States,19.9
#55,Hinduja family,$19.5 B,-,diversified,United Kingdom,19.5
#55,Tadashi Yanai,$19.5 B,69,fashion retail,Japan,19.5
#57,Vladimir Lisin,$19.1 B,62,"steel, transport",Russia,19.1
#58,Laurene Powell Jobs,$18.8 B,54,"Apple, Disney",United States,18.8
#58,Azim Premji,$18.8 B,72,software services,India,18.8
#60,Alexey Mordashov,$18.7 B,52,"steel, investments",Russia,18.7
#61,Lee Kun-Hee,$18.6 B,76,Samsung,South Korea,18.6
#62,Lakshmi Mittal,$18.5 B,68,steel,India,18.5
#63,Wang Wei,$18.2 B,48,package delivery,China,18.2
#64,Leonid Mikhelson,$18 B,62,"gas, chemicals",Russia,18
#65,Charoen Sirivadhanabhakdi,$17.9 B,74,"drinks, real estate",Thailand,17.9
#66,Pallonji Mistry,$17.8 B,89,construction,Ireland,17.8
#67,Ray Dalio,$17.7 B,68,hedge funds,United States,17.7
#68,Takemitsu Takizaki,$17.5 B,73,sensors,Japan,17.5
#69,William Ding,$17.4 B,46,online games,China,17.4
#69,R. Budi Hartono,$17.4 B,77,"banking, tobacco",Indonesia,17.4
#69,Gina Rinehart,$17.4 B,64,mining,Australia,17.4
#72,German Larrea Mota Velasco,$17.3 B,64,mining,Mexico,17.3
#73,Carl Icahn,$16.8 B,82,investments,United States,16.8
#73,Stefan Persson,$16.8 B,70,H&M,Sweden,16.8
#75,Michael Hartono,$16.7 B,78,"banking, tobacco",Indonesia,16.7
#75,Joseph Lau,$16.7 B,66,real estate,Hong Kong,16.7
#77,Thomas & Raymond Kwok,$16.5 B,-,real estate,Hong Kong,16.5
#78,Vagit Alekperov,$16.4 B,67,oil,Russia,16.4
#78,James Ratcliffe,$16.4 B,65,chemicals,United Kingdom,16.4
#80,Donald Bren,$16.3 B,86,real estate,United States,16.3
#80,Iris Fontbona,$16.3 B,75,mining,Chile,16.3
#82,Gennady Timchenko,$16 B,65,"oil, gas",Russia,16
#83,Abigail Johnson,$15.9 B,56,money management,United States,15.9
#83,Vladimir Potanin,$15.9 B,57,metals,Russia,15.9
#83,Lukas Walton,$15.9 B,31,Walmart,United States,15.9
#86,Charlene de Carvalho-Heineken,$15.8 B,63,Heineken,Netherlands,15.8
#87,Zhang Zhidong,$15.6 B,46,internet media,China,15.6
#88,Petr Kellner,$15.5 B,54,banking,Czech Republic,15.5
#88,Andrey Melnichenko,$15.5 B,46,"coal, fertilizers",Russia,15.5
#88,David & Simon Reuben,$15.5 B,-,"investments, real estate",United Kingdom,15.5
#91,Klaus-Michael Kuehne,$15.3 B,81,shipping,Germany,15.3
#91,Li Shufu,$15.3 B,55,automobiles,China,15.3
#93,Mikhail Fridman,$15.1 B,54,"oil, banking, telecom",Russia,15.1
#94,Rupert Murdoch,$15 B,87,"newspapers, TV network",United States,15
#95,Dhanin Chearavanont,$14.9 B,79,diversified,Thailand,14.9
#96,Robert Kuok,$14.8 B,94,"palm oil, shipping, property",Malaysia,14.8
#97,Emmanuel Besnier,$14.7 B,47,cheese,France,14.7
#98,Shiv Nadar,$14.6 B,72,software services,India,14.6
#99,Viktor Vekselberg,$14.4 B,61,"metals, energy",Russia,14.4
#100,Aliko Dangote,$14.1 B,61,"cement, sugar, flour",Nigeria,14.1
#100,Harold Hamm,$14.1 B,72,oil & gas,United States,14.1
#102,Steve Cohen,$14 B,62,hedge funds,United States,14
#102,Dustin Moskovitz,$14 B,34,Facebook,United States,14
#102,Marcel Herrmann Telles,$14 B,68,beer,Brazil,14
#105,Reinhold Wuerth,$13.6 B,83,fasteners,Germany,13.6
#106,Charles Ergen,$13.4 B,65,satellite TV,United States,13.4
#106,Eric Schmidt,$13.4 B,63,Google,United States,13.4
#108,Philip Anschutz,$13 B,78,investments,United States,13
#108,Jim Kennedy,$13 B,70,media,United States,13
#108,Blair Parry-Okeden,$13 B,68,media,United States,13
#108,Alain Wertheimer,$13 B,69,Chanel,France,13
#108,Gerard Wertheimer,$13 B,67,Chanel,France,13
#113,Leonard Lauder,$12.9 B,81,Estee Lauder,United States,12.9
#113,Heinz Hermann Thiele,$12.9 B,77,brakes,Germany,12.9
#115,Dilip Shanghvi,$12.8 B,62,pharmaceuticals,India,12.8
#116,Hasso Plattner,$12.7 B,74,software,Germany,12.7
#117,Stephen Schwarzman,$12.6 B,71,investments,United States,12.6
#118,Lei Jun,$12.5 B,48,smartphones,China,12.5
#118,Hans Rausing,$12.5 B,92,packaging,Sweden,12.5
#118,Alisher Usmanov,$12.5 B,64,"steel, telecom, investments",Russia,12.5
#121,Donald Newhouse,$12.3 B,88,media,United States,12.3
#122,Peter Woo,$12.2 B,71,real estate,Hong Kong,12.2
#123,Luis Carlos Sarmiento,$12.1 B,85,banking,Colombia,12.1
#124,Robin Li,$12 B,49,internet search,China,12
#124,Carlos Alberto Sicupira,$12 B,70,beer,Brazil,12
#126,Seo Jung-Jin,$11.9 B,60,biotech,South Korea,11.9
#127,Kumar Birla,$11.8 B,51,commodities,India,11.8
#127,Alexander Otto,$11.8 B,50,real estate,Germany,11.8
#127,Stefano Pessina,$11.8 B,77,drugstores,Italy,11.8
#130,Udo & Harald Tschira,$11.7 B,-,software,Germany,11.7
#130,Wang Wenyin,$11.7 B,50,"mining, copper products",China,11.7
#132,Andrew Beal,$11.6 B,65,"banks, real estate",United States,11.6
#132,Lee Man Tat,$11.6 B,88,"Oyster sauce, real estate",Hong Kong,11.6
#134,"John Menard, Jr.",$11.5 B,78,home improvement stores,United States,11.5
#135,Xu Shihui,$11.3 B,60,"snacks, beverages",China,11.3
#135,Zhou Hongyi,$11.3 B,47,security software,China,11.3
#137,Gong Hongjia,$11.2 B,53,video surveillance,Hong Kong,11.2
#138,Michael Otto,$11 B,75,"retail, real estate",Germany,11
#138,David Tepper,$11 B,60,hedge funds,United States,11
#140,Roman Abramovich,$10.8 B,51,"steel, investments",Russia,10.8
#140,Liu Qiangdong,$10.8 B,43,e-commerce,China,10.8
#140,Robert & Philip Ng,$10.8 B,-,real estate,Singapore,10.8
#143,Alberto Bailleres Gonzalez,$10.7 B,86,mining,Mexico,10.7
#143,Uday Kotak,$10.7 B,59,banking,India,10.7
#145,Pierre Omidyar,$10.5 B,50,eBay,United States,10.5
#146,Walter P.J. Droege,$10.3 B,65,consulting,Germany,10.3
#147,Dietmar Hopp,$10.2 B,78,software,Germany,10.2
#148,Graeme Hart,$10.1 B,63,investments,New Zealand,10.1
#148,Eduardo Saverin,$10.1 B,36,Facebook,Brazil,10.1
#148,Yan Zhi,$10.1 B,45,real estate,China,10.1
#151,Radhakishan Damani,$10 B,63,"investments, retail",India,10
#152,German Khan,$9.8 B,56,"oil, banking, telecom",Russia,9.8
