city,2011,2012,2013,2014,2015,2016_gdp,2016 Rank*
"Abilene, TX",6039,6397,6922,7454,6972,6752,253
"Akron, OH",29445,30011,31308,33461,35365,37300,75
"Albany, GA",4979,5127,5248,5173,5099,5124,313
"Albany, OR",3385,3530,3559,3629,3772,4027,351
"Albany-Schenectady-Troy, NY",44112,45731,47094,48563,50910,52339,57
"Albuquerque, NM",38117,38955,37897,39805,41561,43250,64
"Alexandria, LA",5341,5435,5483,5602,5650,6106,271
"Allentown-Bethlehem-Easton, PA-NJ",33142,33995,35624,39132,41116,42700,65
"Altoona, PA",4706,4778,4928,5096,5314,5371,299
"Amarillo, TX",11763,12025,12442,12954,12825,13009,173
"Ames, IA",3939,4416,4429,4618,4871,5021,318
"Anchorage, AK",30312,31460,31027,30233,28476,27280,95
"Ann Arbor, MI",19445,19826,20260,20175,21473,22010,114
"Anniston-Oxford-Jacksonville, AL",3865,3823,3690,3729,3755,3832,358
"Appleton, WI",10395,10758,10801,11339,12002,12434,180
"Asheville, NC",14372,14710,15280,16228,17302,18222,133
"Athens-Clarke County, GA",6967,7234,7366,7686,8271,8702,220
"Atlanta-Sandy Springs-Roswell, GA",280675,291483,307873,326556,344590,363768,10
"Atlantic City-Hammonton, NJ",12507,12653,12770,12771,12567,12751,177
"Auburn-Opelika, AL",3975,4177,4328,4607,4856,5193,309
"Augusta-Richmond County, GA-SC",20507,21010,21158,21905,22834,23398,108
"Austin-Round Rock, TX",96399,103513,111720,120494,127583,135010,27
"Bakersfield, CA",34652,36902,38035,39489,36466,35162,78
"Baltimore-Columbia-Towson, MD",158154,162776,167270,173054,179416,187395,19
"Bangor, ME",5283,5422,5455,5559,5775,5961,277
"Barnstable Town, MA",9599,10193,9970,10203,10741,11276,186
"Baton Rouge, LA",49471,51669,48357,51030,51096,51456,58
"Battle Creek, MI",5158,5350,5588,5607,5864,5997,275
"Bay City, MI",3039,3116,3157,3093,3202,3233,369
"Beaumont-Port Arthur, TX",21803,23334,23734,24363,24994,24875,103
"Beckley, WV",4667,4353,4239,4242,4106,4019,353
"Bellingham, WA",9521,9610,10047,9640,10049,10149,198
"Bend-Redmond, OR",6064,6421,6882,7588,8459,9364,213
"Billings, MT",8531,8762,8959,10058,10078,10014,200
"Binghamton, NY",9008,9032,9119,9098,9223,9369,212
"Birmingham-Hoover, AL",54417,57608,57699,58973,61063,62758,51
"Bismarck, ND",5641,6461,6861,7643,8087,7798,235
"Blacksburg-Christiansburg-Radford, VA",5660,6271,6335,6643,7066,7063,247
"Bloomington, IL",10259,10753,11249,11653,11214,11252,187
"Bloomington, IN",6412,6384,6192,6397,6654,6905,250
"Bloomsburg-Berwick, PA",3334,3430,3604,3599,3856,3941,355
"Boise City, ID",25311,26053,27715,29131,30423,31690,82
"Boston-Cambridge-Newton, MA-NH",339857,355585,365048,381049,406002,422660,9
"Boulder, CO",19760,20668,20974,22363,23212,23946,107
"Bowling Green, KY",5575,5957,6288,6465,6774,7192,245
"Bremerton-Silverdale, WA",9484,9456,9448,10006,10377,10663,191
"Bridgeport-Stamford-Norwalk, CT",85401,90441,92545,95748,99421,102401,37
"Brownsville-Harlingen, TX",8816,9149,9366,9654,10011,10462,196
"Brunswick, GA",3500,3435,3505,3575,3758,4114,347
"Buffalo-Cheektowaga-Niagara Falls, NY",50507,51596,52474,54412,56210,58062,55
"Burlington, NC",4638,4912,4892,4884,4989,5330,301
"Burlington-South Burlington, VT",11744,12204,12337,12695,13137,13648,167
"California-Lexington Park, MD",5686,5707,5823,5952,6175,6356,259
"Canton-Massillon, OH",13860,14713,15987,16849,16923,16343,146
"Cape Coral-Fort Myers, FL",20723,21261,21860,23613,25437,27301,94
"Cape Girardeau, MO-IL",3622,3737,3884,3999,4116,4172,344
"Carbondale-Marion, IL",4606,4954,4782,4850,4916,5195,308
"Carson City, NV",3023,3413,3229,3333,3160,3260,367
"Casper, WY",6315,6638,6755,7237,6633,5859,280
"Cedar Rapids, IA",15962,16185,16395,16977,17620,17577,137
"Chambersburg-Waynesboro, PA",4520,4594,4948,5122,5251,5310,302
"Champaign-Urbana, IL",10423,10979,11096,11478,11792,11992,182
"Charleston, WV",13981,13766,13265,12610,12887,12831,176
"Charleston-North Charleston, SC",30275,31556,32720,34769,36914,38776,73
"Charlotte-Concord-Gastonia, NC-SC",125326,131934,136399,143824,154874,163637,21
"Charlottesville, VA",10439,10958,11116,11806,12666,12851,175
"Chattanooga, TN-GA",21744,22883,23144,23637,24825,25495,100
