Rank,Country,GDP
1,United States,19390600
2,China,12014610
3,Japan,4872135
4,Germany,3684816
5,United Kingdom,2624529
6,India,2611012
7,France,2583560
8,Brazil,2054969
9,Italy,1937894
10,Canada,1652412
11,South Korea,1538030
12,Russia[n 3],1527469
13,Australia,1379548
14,Spain,1313951
15,Mexico,1149236
16,Indonesia,1015411
17,Turkey,849480
18,Netherlands,825745
19,Saudi Arabia,683827
20,Switzerland,678575
21,Argentina,637717
22,Taiwan,579302
23,Sweden,538575
24,Poland,524886
25,Belgium,494733
26,Thailand,455378
27,Iran,431920
28,Austria,416845
29,Norway,396457
30,United Arab Emirates,377435
31,Nigeria,376284
32,Israel,350609
33,South Africa,349299
34,Hong Kong,341659
35,Ireland,333994
36,Denmark,324484
37,Singapore,323902
38,Malaysia,314497
39,Philippines,313419
40,Colombia,309197
41,Pakistan,303993
42,Chile,277042
43,Bangladesh,261374
44,Finland,253244
45,Egypt,237073
46,Vietnam,220408
47,Portugal,218064
48,Peru,215224
49,Czech Republic,213189
50,Romania,211315
51,Venezuela,210085
52,New Zealand,201485
53,Greece,200690
54,Iraq,197699
55,Algeria,178287
56,Qatar,166326
57,Kazakhstan,160839
58,Hungary,152284
59,Angola,124209
60,Kuwait,120351
61,Morocco,109824
62,Ukraine,109321
63,Ecuador,102311
64,Puerto Rico,98805
65,Slovakia,95938
66,Sri Lanka,87591
67,Ethiopia,80874
68,Kenya,79511
68,Syria,77460
69,Guatemala,75661
70,Dominican Republic,75018
71,Oman,74274
72,Myanmar,66537
73,Luxembourg,62393
74,Uruguay,58415
75,Panama,61838
76,Costa Rica,58056
77,Sudan,58239
78,Bulgaria,56943
79,Croatia,54516
80,Belarus,54436
81,Tanzania,51725
82,Lebanon,51457
83,Macau,49802
84,Slovenia,48868
85,Uzbekistan,47883
86,Lithuania,47263
87,Ghana,47032
88,Serbia,41471
89,Democratic Republic of the Congo,41441
90,Azerbaijan,40670
91,Jordan,40487
92,Cote d'Ivoire,40360
93,Tunisia,40275
94,Turkmenistan,37926
95,Bolivia,37122
96,Bahrain,34895
97,Cameroon,34006
98,Libya,31331
99,Latvia,30319
100,Paraguay,29619
101,El Salvador,28023
102,Uganda,26349
103,Estonia,25973
104,Zambia,25504
105,Nepal,24472
106,Iceland,23909
107,Papua New Guinea,23617
108,Honduras,22975
109,Cambodia,22252
110,Cyprus,21310
111,Afghanistan,20889
112,Trinidad and Tobago,20300
113,Bosnia and Herzegovina,17457
114,Laos,17152
115,Zimbabwe,17105
116,Botswana,16725
117,Yemen,16511
118,Senegal,16057
119,Georgia,15230
120,Mali,14998
121,Gabon,14467
122,Jamaica,14290
123,Nicaragua,13692
124,Burkina Faso,13187
125,Albania,13001
126,Namibia,12558
127,Mozambique,12345
128,Mauritius,12273
129,Malta,12011
130,Brunei,11963
131,Macedonia,11416
132,Armenia,11037
133,Mongolia,10869
134,Madagascar,10557
135,Equatorial Guinea,10069
136,Chad,9740
137,Benin,9410
138,Guinea,9183
139,Bahamas,9127
140,Rwanda,8918
141,Kosovo,8883
142,Haiti,8360
143,Moldova,7945
144,Niger,7892
145,Republic of Congo,7799
146,Tajikistan,7234
147,Kyrgyzstan,7061
148,Malawi,6261
149,Eritrea,6050
150,Fiji,5054
151,Mauritania,4985
152,Barbados,4821
153,Togo,4797
154,Maldives,4520
155,Montenegro,4405
156,Swaziland,4030
157,Sierra Leone,3897
158,Suriname,3665
159,Guyana,3591
160,Burundi,3393
161,South Sudan,2870
162,Lesotho,2721
163,Timor-Leste,2716
164,Bhutan,2321
165,Liberia,2140
166,Djibouti,2082
167,Central African Republic,1992
168,Belize,1819
169,Cape Verde,1728
170,St. Lucia,1717
171,San Marino,1592
172,Antigua and Barbuda,1535
173,Seychelles,1479
174,Guinea-Bissau,1295
175,Solomon Islands,1273
176,Grenada,1111
177,The Gambia,1038
178,St. Kitts and Nevis,939
179,Samoa,844
180,Vanuatu,837
181,St. Vincent and the Grenadines,815
182,Comoros,659
183,Dominica,608
184,Tonga,437
185,Sao Tome and Principe,372
186,Federated States of Micronesia,329
187,Palau,321
188,Marshall Islands,199
189,Kiribati,186
190,Tuvalu,40
191,Vatican City,2
