Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating,money_raised
Domo,DOMO,Technology,6/29/18,9.2,21,27.3,20.94,-0.29%,S/O,193.2
BJÕs Wholesale Club Holdings,BJ,Consumer Goods,6/28/18,37.5,17,22,23.87,40.41%,S/O,637.5
BrightView Holdings,BV,Consumer Services,6/28/18,21.3,22,21.4,22,0.00%,S/O,468.6
EverQuote,EVER,Technology,6/28/18,4.7,18,18.02,17.39,-3.39%,S/O,84.6
Forty Seven,FTSV,Health Care,6/28/18,7,16,15.05,15.75,-1.56%,S/O,112
Translate Bio,TBIO,Health Care,6/28/18,9.4,13,0,13.3,2.31%,S/O,122.2
Tricida,TCDA,Health Care,6/28/18,11.7,19,26,31.07,63.53%,S/O,222.3
HyreCar,HYRE,Consumer Services,6/27/18,2.5,5,5.1,4.43,-11.40%,S/O,12.5
Neon Therapeutics,NTGN,Health Care,6/27/18,6.3,16,15,13.21,-17.44%,S/O,100.8
Uxin Ltd.,UXIN,Consumer Services,6/27/18,25,9,9.67,7.66,-14.89%,S/O,225
Autolus Therapeutics,AUTL,Health Care,6/22/18,8.8,17,25,25.98,52.82%,S/O,149.6
Electrocore,ECOR,Health Care,6/22/18,5.2,15,19.85,14.35,-4.33%,S/O,78
Aptinyx,APTX,Health Care,6/21/18,6.4,16,20.2,24.07,50.44%,S/O,102.4
AVROBIO,AVRO,Health Care,6/21/18,5.3,19,31.2,27.99,47.32%,S/O,100.7
Essential Properties Realty Trust,EPRT,Financials,6/21/18,32.5,14,13.64,13.41,-4.21%,S/O,455
i3 Verticals,IIIV,Technology,6/21/18,6.7,13,18.35,16.14,24.15%,S/O,87.1
Magenta Therapeutics,MGTA,Health Care,6/21/18,6.7,15,14.52,12.85,-14.33%,S/O,100.5
Xeris Pharmaceuticals,XERS,Health Care,6/21/18,5.7,15,20.22,18.49,23.27%,S/O,85.5
Eidos Therapeutics,EIDX,Health Care,6/20/18,6.3,17,23.12,22.76,33.88%,S/O,107.1
Avalara,AVLR,Technology,6/15/18,7.5,24,44.94,47.5,97.92%,S/O,180
Puxin Ltd.,NEW,Consumer Services,6/15/18,7.2,17,21,18.96,11.53%,S/O,122.4
Verrica Pharmaceuticals,VRCA,Health Care,6/15/18,5,15,17.5,19.79,31.93%,S/O,75
Charah Solutions,CHRA,Consumer Services,6/14/18,7.4,12,12,11.12,-7.33%,S/O,88.8
U.S. Xpress Enterprises,USX,Consumer Services,6/14/18,18.1,16,16.68,15.49,-3.19%,S/O,289.6
MeiraGTx Holdings plc,MGTX,Health Care,6/8/18,5,15,15,12.5,-16.67%,S/O,75
Ambow Education Holding,AMBO,Consumer Services,6/1/18,1.8,4.25,4.03,5.03,18.35%,S/O,7.65
